carat,x_dimension,y_dimension,z_dimension,depth,table,price,clarity_if,clarity_si1,clarity_si2,clarity_vvs1,clarity_vvs2,color_d,color_e,color_f,color_g,color_h,color_i,color_j,cut_good,cut_ideal,cut_premium,cut_very_good
0.4,4.8,4.78,2.9575910818178137,62.4,58.0,2100.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.05,6.6,6.65,4.11,62.4441512556595,58.0,9200.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1.3,6.9,6.90451535968207,4.26,62.3,57.0,9900.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0.75,5.9,5.91,3.66,62.3,59.0,4600.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.5,5.2,5.177885026010952,3.2,62.22272359727624,56.0,2300.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1.4,7.1,7.117766823070067,4.39,62.7,59.0,11200.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0.7,5.8,5.77,3.58,62.33145630842024,56.0,4200.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1.05,6.6,6.62,4.09,62.6,57.153770034303285,9300.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0.7,5.7,5.68,3.52,62.5,56.76783023135425,4200.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0.653471528064455,5.5,5.499273619859898,3.41,62.3,56.0,2400.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.75,5.9,5.88,3.65,62.3,56.86935708019056,4400.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1.054202369305023,6.5,6.52,4.03,62.6,57.10951131322663,7900.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1.055998903791287,6.5,6.53,4.04,62.7,58.0,7900.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1.25,6.9,6.898206521701019,4.27,62.56058916434777,55.0,10400.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0.55,5.3,5.29,3.278492897226156,62.0,56.64752828772552,1800.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0.2903948931467077,4.6,4.583310370532505,2.83,62.2,57.0,1600.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1.4,7.1,7.121067534212948,4.4,62.7,58.0,11500.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0.6,5.5,5.52,3.42,62.281492316609146,56.0,3500.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.55,5.4,5.395406734753306,3.35,62.3,56.0,2600.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0.45,4.9,4.89,3.022305674388833,62.4,59.0,2300.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.95,6.4,6.42,3.96,62.44578948164799,56.0,7100.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
