carat,x_dimension,y_dimension,z_dimension,depth,table,price,clarity,color,cut
0.5,5.1,5.15,3.2,61.5,56.63708915563416,3000.0,if,d,ideal
0.7,5.7,5.701933632748315,3.52,62.0,59.0,4500.0,vvs2,e,premium
0.18381727845647644,4.3,4.31,2.6754796518164663,62.3,56.0,700.0,si2,h,good
1.2,6.802001462355134,6.82,4.2,61.7,58.0,10000.0,if,d,ideal
0.9,6.0,5.997815714099408,3.7,61.7,56.96912066384105,2400.0,i1,j,fair
0.8144264006321831,5.9,5.92,3.63,62.334568529840496,57.0,4200.0,si1,g,very good
0.5,5.1,5.135399339779171,3.2,61.5,57.0,3100.0,if,d,ideal
0.4,4.8,4.79,2.95,62.1429614111521,56.42864863730123,1500.0,vvs1,f,good
0.1859840432534643,4.3,4.32,2.6813060385154985,62.3,56.212673468706015,327.28125705727143,si2,i,good
1.0,6.4,6.434856540323026,4.0,62.40824040487501,58.0,7500.0,vvs1,f,ideal
0.5,5.199508600828074,5.21,3.21,61.6,58.0,11102.189774965722,si1,colorless,premium
0.4,4.9,4.88,3.0256126658012272,61.2,56.0,1400.0,vvs2,g,very good
0.741671749855735,5.7,5.71,3.54,62.362187492175835,54.0,2000.0,si2,j,fair
1.1,6.6,6.600321110171108,4.08,62.4622909049798,57.0,9200.0,vvs1,e,premium
0.55,5.3,5.29,3.2784928972261556,62.0,56.64752828772552,1800.0,si2,h,good
0.19949945083626908,4.4,4.39,2.69,61.3,57.0,3488.829417639965,vvs2,i,good
0.5,5.2,5.177885026010952,3.2,62.22272359727624,56.0,2300.0,si1,g,very good
1.0,6.5,6.49,4.013331464985202,61.7,58.0,18361.965283244994,if,d,ideal
0.6,5.5,5.52,3.422229355165199,62.26085804808528,57.0,2200.0,si2,h,good
0.7,5.784256187148378,5.79,3.57,61.6,56.886207349916276,2100.0,i1,j,fair
0.8926637055513598,6.1,6.15,3.9,61.8,57.0,6000.0,vvs1,f,ideal
1.3,6.9,6.942970057518111,4.3,63.0,60.0,10500.0,si1,g,premium
1.4,7.1,7.12,4.393344401216368,62.4,59.0,11000.0,if,d,good
0.29092812719081795,4.6,4.58,2.85,62.11445759498794,56.0,800.0,vvs2,e,good
1.6,7.3,7.28,4.5,62.66194981369426,54.0,3400.0,i1,i,fair
0.2,3.9,3.89,2.41,62.1,56.070832491990714,500.0,si1,h,very good
0.35,4.5,4.52,2.8000064553776993,61.9,56.0,1300.0,if,g,ideal
0.29039489314670774,4.6,4.583310370532505,2.83,62.2,57.0,1600.0,vvs2,g,good
0.55,5.4,5.42,3.35,62.1,56.68557367514238,2500.0,i1,j,premium
1.1256620010408636,6.7,6.71,4.15,62.460558160598545,58.0,7700.0,vvs1,d,ideal
0.65,5.6,5.603355052942413,3.47,62.3,58.0,2900.0,si2,colorless,very good
1.5,7.2,7.18,4.426210981052799,62.7,59.0,10800.0,vvs2,f,good
0.9,6.1,6.12,3.78,62.4,56.9446401536693,2600.0,si2,h,fair
1.201652713323472,6.9,6.904753609180548,4.27,62.2,57.0,9300.0,vvs1,e,premium
0.45,4.9,4.91,3.0436183972153175,62.1,56.0,1700.0,si2,i,good
0.6,5.5,5.49,3.399726296801416,62.236682128569235,58.0,2800.0,vvs2,g,good
0.5701831534598187,5.3,5.31,3.3,62.0,57.0,2700.0,si1,f,very good
0.95,6.3,6.3045712775789715,3.9,62.6,58.0,9400.0,if,d,ideal
1.05,6.6,6.58,4.073289222513232,62.7,57.131828505393905,8500.0,si2,j,good
0.8058641229462076,5.9,5.89257854370833,3.65,61.9,55.0,2200.0,i1,g,fair
0.45,4.8,4.82,3.01,62.1,56.0,1500.0,si2,h,ideal
0.9201686846501729,6.2,6.20982321848749,3.84,61.9,58.0,5900.0,if,f,premium
0.85,5.8,5.82,3.6054928211069144,62.2,55.0,4800.0,vvs1,i,good
0.95,6.3,6.31,3.91,62.4,57.04284152506583,7300.0,vvs2,d,good
0.8606334410979217,6.0,6.01,3.7295607631805643,62.41755608688321,54.0,2700.0,si1,e,fair
0.35,4.6,4.6040065945723345,2.85,62.0,57.0,1400.0,if,g,very good
0.55,5.4,5.395406734753306,3.35,62.3,56.0,2600.0,vvs2,j,ideal
0.36634926073587337,4.8,4.79,2.96,61.8,56.460977644049784,1200.0,i1,d,good
1.05,6.7,6.69,4.13,62.45515798130917,58.0,9500.0,vvs1,f,premium
0.75,5.7,5.71,3.5353722196656645,62.5,57.0,3800.0,si2,g,good
0.65,5.6,5.58,3.48,62.6,56.714941156888514,3300.0,si1,colorless,very good
1.4,7.1,7.117766823070067,4.39,62.7,59.0,11200.0,vvs2,h,good
0.3,4.4,4.41,2.7356426748726013,62.1,55.0,600.0,i1,i,fair
0.5,5.2,5.22,3.2330710855351787,62.18488018369746,58.0,2900.0,vvs1,e,premium
1.3,6.9,6.90451535968207,4.26,62.3,57.0,9900.0,si2,f,good
